DATE,UMCSENT,MICH
1/1/2010,74.4,2.8
2/1/2010,73.6,2.7
3/1/2010,73.6,2.7
4/1/2010,72.2,2.9
5/1/2010,73.6,3.2
6/1/2010,76,2.8
7/1/2010,67.8,2.7
8/1/2010,68.9,2.7
9/1/2010,68.2,2.2
10/1/2010,67.7,2.7
11/1/2010,71.6,3
12/1/2010,74.5,3
1/1/2011,74.2,3.4
2/1/2011,77.5,3.4
3/1/2011,67.5,4.6
4/1/2011,69.8,4.6
5/1/2011,74.3,4.1
6/1/2011,71.5,3.8
7/1/2011,63.7,3.4
8/1/2011,55.8,3.5
9/1/2011,59.5,3.3
10/1/2011,60.8,3.2
11/1/2011,63.7,3.2
12/1/2011,69.9,3.1
1/1/2012,75,3.3
2/1/2012,75.3,3.3
3/1/2012,76.2,3.9
4/1/2012,76.4,3.2
5/1/2012,79.3,3
6/1/2012,73.2,3.1
7/1/2012,72.3,3
8/1/2012,74.3,3.6
9/1/2012,78.3,3.3
10/1/2012,82.6,3.1
11/1/2012,82.7,3.1
12/1/2012,72.9,3.2
1/1/2013,73.8,3.3
2/1/2013,77.6,3.3
3/1/2013,78.6,3.2
4/1/2013,76.4,3.1
5/1/2013,84.5,3.1
6/1/2013,84.1,3
7/1/2013,85.1,3.1
8/1/2013,82.1,3
9/1/2013,77.5,3.3
10/1/2013,73.2,3
11/1/2013,75.1,2.9
12/1/2013,82.5,3
1/1/2014,81.2,3.1
2/1/2014,81.6,3.2
3/1/2014,80,3.2
4/1/2014,84.1,3.2
5/1/2014,81.9,3.3
6/1/2014,82.5,3.1
7/1/2014,81.8,3.3
8/1/2014,82.5,3.2
9/1/2014,84.6,3
10/1/2014,86.9,2.9
11/1/2014,88.8,2.8
12/1/2014,93.6,2.8
1/1/2015,98.1,2.5
2/1/2015,95.4,2.8
3/1/2015,93,3
4/1/2015,95.9,2.6
5/1/2015,90.7,2.8
6/1/2015,96.1,2.7
7/1/2015,93.1,2.8
8/1/2015,91.9,2.8
9/1/2015,87.2,2.8
10/1/2015,90,2.7
11/1/2015,91.3,2.7
12/1/2015,92.6,2.6
1/1/2016,92,2.5
2/1/2016,91.7,2.5
3/1/2016,91,2.7
4/1/2016,89,2.8
5/1/2016,94.7,2.4
6/1/2016,93.5,2.6
7/1/2016,90,2.7
8/1/2016,89.8,2.5
9/1/2016,91.2,2.4
10/1/2016,87.2,2.4
11/1/2016,93.8,2.4
12/1/2016,98.2,2.2
1/1/2017,98.5,2.6
2/1/2017,96.3,2.7
3/1/2017,96.9,2.5
4/1/2017,97,2.5
5/1/2017,97.1,2.6
6/1/2017,95,2.6
7/1/2017,93.4,2.6
8/1/2017,96.8,2.6
9/1/2017,95.1,2.7
10/1/2017,100.7,2.4
11/1/2017,98.5,2.5
12/1/2017,95.9,2.7
1/1/2018,95.7,2.7
2/1/2018,99.7,2.7
3/1/2018,101.4,2.8
4/1/2018,98.8,2.7
5/1/2018,98,2.8
6/1/2018,98.2,3
7/1/2018,97.9,2.9
8/1/2018,96.2,3
9/1/2018,100.1,2.7
10/1/2018,98.6,2.9
